VOV_V,N_ids_A,N_gm_S,N_gds_S,N_gm_over_Id,P_abs_ids_A,P_gm_S,P_gm_over_Id
0.3250000000000002,5.809375000000009e-05,0.0003575000000000003,5.281250000000008e-06,6.15384615384615,5.809375000000005e-05,0.0003575000000000002,6.153846153846152
0.3300000000000002,5.98950000000001e-05,0.0003630000000000003,5.445000000000009e-06,6.060606060606055,5.98950000000001e-05,0.0003630000000000003,6.060606060606055
0.3350000000000002,6.172375000000008e-05,0.0003685000000000003,5.611250000000008e-06,5.97014925373134,6.172375000000006e-05,0.0003685000000000002,5.970149253731341
0.3400000000000002,6.358000000000009e-05,0.0003740000000000003,5.780000000000009e-06,5.882352941176467,6.358000000000009e-05,0.0003740000000000003,5.882352941176467
0.3450000000000003,6.54637500000001e-05,0.0003795000000000003,5.951250000000008e-06,5.797101449275358,6.546375000000006e-05,0.0003795000000000002,5.7971014492753605
0.3500000000000003,6.73750000000001e-05,0.0003850000000000003,6.12500000000001e-06,5.71428571428571,6.73750000000001e-05,0.0003850000000000003,5.71428571428571
0.3550000000000003,6.931375000000011e-05,0.0003905000000000003,6.30125000000001e-06,5.633802816901404,6.931375000000007e-05,0.0003905000000000002,5.633802816901406
0.3600000000000003,7.128000000000012e-05,0.0003960000000000004,6.48000000000001e-06,5.555555555555552,7.128000000000012e-05,0.0003960000000000004,5.555555555555552
0.3650000000000003,7.327375000000011e-05,0.0004015000000000003,6.66125000000001e-06,5.479452054794517,7.327375000000007e-05,0.0004015000000000002,5.4794520547945185
0.3700000000000003,7.529500000000013e-05,0.0004070000000000004,6.845000000000011e-06,5.405405405405402,7.529500000000013e-05,0.0004070000000000004,5.405405405405402
0.3750000000000003,7.734375000000011e-05,0.0004125000000000003,7.031250000000011e-06,5.3333333333333295,7.734375000000007e-05,0.0004125000000000002,5.333333333333331
0.3800000000000003,7.942000000000013e-05,0.0004180000000000003,7.220000000000012e-06,5.263157894736837,7.942000000000013e-05,0.0004180000000000003,5.263157894736837
0.3850000000000003,8.152375000000013e-05,0.0004235000000000004,7.411250000000011e-06,5.194805194805191,8.152375000000009e-05,0.0004235000000000003,5.194805194805193
0.3900000000000003,8.365500000000013e-05,0.0004290000000000004,7.605000000000012e-06,5.128205128205125,8.365500000000013e-05,0.0004290000000000004,5.128205128205125
0.3950000000000003,8.581375000000013e-05,0.0004345000000000003,7.801250000000011e-06,5.063291139240502,8.581375000000009e-05,0.0004345000000000002,5.063291139240503
0.4000000000000003,8.800000000000013e-05,0.0004400000000000003,8.000000000000011e-06,4.999999999999996,8.800000000000013e-05,0.0004400000000000003,4.999999999999996
0.4050000000000003,9.021375000000013e-05,0.0004455000000000004,8.201250000000012e-06,4.938271604938269,9.021375000000009e-05,0.0004455000000000003,4.93827160493827
0.4100000000000003,9.245500000000016e-05,0.0004510000000000004,8.405000000000014e-06,4.878048780487801,9.245500000000016e-05,0.0004510000000000004,4.878048780487801
0.4150000000000003,9.472375000000016e-05,0.0004565000000000004,8.611250000000013e-06,4.819277108433732,9.472375000000011e-05,0.0004565000000000003,4.819277108433733
0.4200000000000003,9.702000000000017e-05,0.0004620000000000004,8.820000000000014e-06,4.761904761904757,9.702000000000017e-05,0.0004620000000000004,4.761904761904757
0.4250000000000003,9.934375000000016e-05,0.0004675000000000004,9.031250000000015e-06,4.705882352941173,9.934375000000011e-05,0.0004675000000000003,4.705882352941175
0.4300000000000003,0.0001016950000000002,0.0004730000000000004,9.245000000000014e-06,4.651162790697669,0.0001016950000000002,0.0004730000000000004,4.651162790697669
0.4350000000000003,0.0001040737500000002,0.0004785000000000004,9.461250000000014e-06,4.597701149425282,0.0001040737500000001,0.0004785000000000003,4.597701149425286
0.4400000000000003,0.0001064800000000002,0.0004840000000000004,9.680000000000016e-06,4.5454545454545405,0.0001064800000000002,0.0004840000000000004,4.5454545454545405
0.4450000000000003,0.0001089137500000002,0.0004895000000000005,9.901250000000016e-06,4.494382022471906,0.0001089137500000001,0.0004895000000000004,4.4943820224719095
0.4500000000000003,0.0001113750000000002,0.0004950000000000004,1.012500000000002e-05,4.44444444444444,0.0001113750000000002,0.0004950000000000004,4.44444444444444
0.4550000000000003,0.0001138637500000002,0.0005005000000000005,1.035125000000002e-05,4.395604395604392,0.0001138637500000001,0.0005005000000000003,4.395604395604394
0.4600000000000004,0.0001163800000000002,0.0005060000000000004,1.058000000000002e-05,4.347826086956518,0.0001163800000000002,0.0005060000000000004,4.347826086956518
